comment,link
"Ένα πραγματικά υπέροχο τραγούδι άλλη μια ζεμπεκια από τις λίγες μπράβο Νίκο, ο Οικονομόπουλος όπως τον γνωρίσαμε από παλιά.",https://www.youtube.com/watch?v=b0z_dp5-luQ
Amazing singer with so much depth of emotion in all his songs  πόλη αγάπη άπω την Αυστραλία  we all love you!! ,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ένας είσαι δεν υπάρχει καλύτερος ,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Στην εποχή που το λαικό τραγούδι ειναι πιο χτυπημένο από ποτέ απ την ξενολατρία και τις αντι-πολιτισμικές τακτικές που σχεδόν εξαφανίζουν τους δημιουργούς αυτής της χώρας, ο Σαμπάνης, ο Γρίτσης και ο ψυχολόγος της καρδιάς μας με κομμάτια σαν αυτό, κρατάνε την φλόγα αναμμένη.",https://www.youtube.com/watch?v=b0z_dp5-luQ
Ο έκπτωτος άγγελος που θα μείνει για πάντα στην καρδιά μας..,https://www.youtube.com/watch?v=b0z_dp5-luQ
Ο νέος ύμνος!!!! Όλη μέρα κάθε μέρα μόνο αυτό ακούμε!!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ευχαριστούμε Νικο Οικονομοπουλε, Νίκο Γρίτση και Γιώργο Σαμπάνη για το τραγουδι! Υπεροχο! Νικο Οικονομόπουλε εισαι ενας μάγκας, μπράβο που ομολογεις την Ορθόδοξη πίστη μας. Μακαρι να είχαμε και άλλους σαν εσένα!",https://www.youtube.com/watch?v=b0z_dp5-luQ
Ο Θεός να σε βοηθήσει να δεις  με τα μάτια της ψυχής σου το φως του...,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Και το περνάει περνάει η μέλισσα να βγάλει, θα το κάνεις επιτυχία ο Ψυχολόγος μας.!!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Παλιός καλός Νίκος Οικονομόπουλος! Αυτός που αγαπήσαμε όλοι!!! 
Με Σαμπάνη και Γρίτση είναι σίγουρη η επιτυχία! Εγώ το λάτρεψα και το ακούω όλη μέρα! Καλοτάξιδο!!! ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Ο καλύτερος νέος Έλληνας καλλιτέχνης τα τελευταία 15 χρόνια με διάφορα!!!,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Τι κομματάρα είναι αυτή ρε Νικόλα ,μας κατέστρεψες .Μπράβο σε  Γρίτση και Σαμπάνη για στίχους και μουσική",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Χρόνια είχε να βγάλει τόσο καλό τραγούδι,ύμνος από τα παλιά ",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Τέτοια τραγούδια θέλουμε να εξαφανιστεί η χειρότερη μόδα όλων των εποχών η τραπ! Πάμε δυνατά πάμε Ελληνικά! Αλλάζουμε την μόδα με ομορφιά, καψούρα, έρωτα!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Όταν το μυαλό τσακώνεται με την καρδιά, αναλαμβάνει να λύσει τη διαφορά το συκώτι... Γεια μας!",https://www.youtube.com/watch?v=b0z_dp5-luQ
Όπου κ αν πας στον Νικόλα γυρνάς. Απλά ο καλύτερος.,https://www.youtube.com/watch?v=b0z_dp5-luQ
